Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
A Christmas Story,19294144,19294144,NA,3250000.0,18-Nov-83,PG,NA,MGM,Based on Book/Short Story,Comedy,Historical Fiction,NA,88.0,8.0,51757.0
Cat on a Hot Tin Roof,17570324,17570324,NA,3000000.0,20-Sep-58,NA,NA,MGM,Based on Play,Drama,Contemporary Fiction,Richard Brooks,100.0,8.0,14540.0
C.H.U.D.,4700000,4700000,NA,1250000.0,31-Aug-84,NA,NA,New World,Original Screenplay,Horror,Fantasy,NA,NA,5.0,2806.0
Crooklyn,13024170,13024170,NA,14000000.0,13-May-94,PG-13,NA,Universal,Original Screenplay,Comedy,Historical Fiction,Spike Lee,75.0,6.5,3137.0
Festen,1647780,1647780,NA,1300000.0,09-Oct-98,R,NA,October Films,Original Screenplay,Comedy,Contemporary Fiction,Thomas Vinterberg,NA,8.1,26607.0
Cleopatra,48000000,62000000,NA,36000000.0,12-Jun-63,NA,NA,20th Century Fox,Based on Real Life Events,Drama,Dramatization,NA,40.0,6.8,7870.0
Cliffhanger,84049211,255000000,NA,65000000.0,28-May-93,NA,NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,82.0,6.2,34447.0
The Californians,4134,4134,NA,500000.0,21-Oct-05,PG,NA,Fabrication Films,Original Screenplay,Drama,Contemporary Fiction,NA,NA,5.1,226.0
The Client,92115211,117615211,NA,45000000.0,20-Jul-94,PG-13,NA,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Joel Schumacher,80.0,6.5,19299.0
The Calling,32092,32092,NA,160000.0,01-Mar-02,PG,NA,Testimony Pictures,Original Screenplay,Drama,Contemporary Fiction,Michael C. Brown,NA,3.4,1113.0
Clueless,56598476,56598476,NA,13700000.0,01-Jul-95,PG-13,NA,Paramount Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Amy Heckerling,83.0,6.7,39055.0
The Color Purple,93589701,93589701,NA,15000000.0,18-Dec-85,NA,NA,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Steven Spielberg,88.0,7.7,26962.0
Clerks,3073428,3073428,NA,27000.0,19-Oct-94,R,NA,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,88.0,7.9,89991.0
Central do Brasil,5969553,17006158,NA,2900000.0,20-Nov-98,R,NA,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,Walter Salles,NA,8.0,17343.0
Clash of the Titans,30000000,30000000,NA,15000000.0,12-Jun-81,NA,108.0,MGM,Traditional/Legend/Fairytale,Adventure,Fantasy,NA,65.0,5.9,45773.0
Clockwatchers,444354,444354,NA,2000000.0,15-May-98,PG-13,NA,Artistic License,NA,NA,NA,NA,NA,5.9,3171.0
Commando,35073978,35073978,NA,10000000.0,04-Oct-85,NA,NA,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,NA,71.0,4.5,49.0
The Color of Money,52293000,52293000,NA,10000000.0,17-Oct-86,NA,NA,Walt Disney Pictures,NA,Drama,Contemporary Fiction,Martin Scorsese,91.0,6.9,25824.0
Cinderella,85000000,85000000,NA,2900000.0,15-Feb-50,NA,NA,Walt Disney Pictures,Traditional/Legend/Fairytale,Drama,Fantasy,NA,92.0,5.1,373.0
Congo,81022333,152022333,NA,50000000.0,09-Jun-95,PG-13,NA,Paramount Pictures,Based on Book/Short Story,Adventure,Contemporary Fiction,Frank Marshall,21.0,4.6,17954.0
Conan the Barbarian,38264085,38264085,NA,20000000.0,14-May-82,NA,NA,Universal,Based on Book/Short Story,Action,Fantasy,John Milius,76.0,6.8,38886.0
Conan the Destroyer,26400000,26400000,NA,18000000.0,29-Jun-84,NA,NA,Universal,Based on Book/Short Story,Action,Fantasy,Richard Fleischer,29.0,5.4,20368.0
Class of 1984,6965361,6965361,NA,3250000.0,20-Aug-82,NA,NA,United Film Distribution Co.,Original Screenplay,Drama,Contemporary Fiction,NA,NA,6.3,2945.0
The Clan of the Cave Bear,1953732,1953732,NA,15000000.0,17-Jan-86,NA,NA,Warner Bros.,Based on Book/Short Story,Adventure,Historical Fiction,NA,13.0,4.9,2763.0
The Case of the Grinning Cat,7033,7033,NA,200000.0,21-Jul-06,Not Rated,NA,First Run/Icarus,Based on Real Life Events,Documentary,Factual,NA,NA,NA,NA
Bacheha-Ye aseman,925402,925402,NA,180000.0,22-Jan-99,PG,NA,Miramax,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,8.0,6657.0
Coming Home,32653000,32653000,NA,3000000.0,NA,NA,NA,NA,NA,NA,NA,Hal Ashby,81.0,7.3,4410.0
Cool Runnings,68856263,155056263,NA,14000000.0,01-Oct-93,NA,NA,Walt Disney Pictures,Based on Real Life Events,Comedy,Contemporary Fiction,Jon Turteltaub,73.0,6.5,24533.0
Conquest of the Planet of the Apes,9700000,9700000,NA,1700000.0,NA,NA,NA,NA,NA,NA,NA,Jack Lee Thompson,44.0,5.8,6188.0
Cure,94596,94596,NA,10000.0,06-Jul-01,Not Rated,NA,NA,NA,NA,NA,NA,NA,7.4,2724.0
Crocodile Dundee,174803506,328000000,NA,5000000.0,26-Sep-86,NA,NA,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,88.0,6.5,27277.0
Dayereh,673780,673780,NA,10000.0,09-Mar-01,Not Rated,NA,WinStar Cinema,Original Screenplay,Drama,Contemporary Fiction,NA,NA,7.3,1851.0
Karakter,713413,713413,NA,4500000.0,27-Mar-98,R,NA,Sony Pictures Classics,Based on Book/Short Story,Drama,Historical Fiction,NA,NA,7.8,5531.0
Creepshow,20036244,20036244,NA,8000000.0,10-Nov-82,NA,NA,Warner Bros.,Based on Book/Short Story,Horror,Fantasy,George A. Romero,67.0,6.5,12530.0
Creepshow 2,14000000,14000000,NA,3500000.0,01-May-87,NA,NA,New World,Based on Book/Short Story,Horror,Fantasy,NA,26.0,5.4,5910.0
The Crying Game,62546695,62546695,NA,4000000.0,25-Nov-92,R,NA,Miramax,Original Screenplay,Drama,Contemporary Fiction,Neil Jordan,100.0,7.3,21195.0
Crimson Tide,91387195,159387195,NA,55000000.0,12-May-95,R,NA,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,86.0,7.2,33354.0
Caravans,1000000,1000000,NA,14000000.0,NA,NA,NA,Universal,Based on Book/Short Story,Adventure,Historical Fiction,NA,NA,5.8,173.0
Casablanca,10462500,10462500,NA,950000.0,NA,NA,NA,Warner Bros.,Based on Play,Drama,Historical Fiction,Michael Curtiz,97.0,8.8,167939.0
Casino,42438300,110400000,NA,52000000.0,22-Nov-95,R,NA,Universal,Based on Book/Short Story,Drama,Historical Fiction,Martin Scorsese,81.0,8.1,108634.0
Casper,100328194,282300000,NA,55000000.0,26-May-95,PG,NA,Universal,Based on TV,Comedy,Fantasy,Brad Silberling,41.0,5.7,26121.0
Can't Stop the Music,2000000,2000000,NA,20000000.0,NA,NA,NA,NA,Original Screenplay,Musical,Contemporary Fiction,NA,NA,3.5,2146.0
Catch-22,24911670,24911670,NA,18000000.0,24-Jun-70,NA,NA,Paramount Pictures,Based on Book/Short Story,Comedy,Historical Fiction,Mike Nichols,87.0,7.1,9671.0
City Hall,20278055,20278055,NA,40000000.0,16-Feb-96,R,111.0,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Harold Becker,55.0,6.1,9908.0
Cutthroat Island,10017322,10017322,NA,92000000.0,22-Dec-95,PG-13,NA,MGM,Original Screenplay,Adventure,Historical Fiction,Renny Harlin,45.0,5.3,10346.0
La femme de chambre du Titanic,244465,244465,NA,10000000.0,14-Aug-98,NA,NA,MGM,Based on Book/Short Story,Drama,Historical Fiction,NA,NA,6.8,822.0
Cat People,4000000,8000000,NA,134000.0,16-Nov-42,NA,NA,RKO Radio Pictures,Original Screenplay,Drama,Fantasy,NA,91.0,5.9,6791.0
Courage Under Fire,59003384,100833145,NA,46000000.0,12-Jul-96,R,115.0,20th Century Fox,Original Screenplay,Drama,Historical Fiction,Edward Zwick,85.0,6.6,19682.0
C'era una volta il West,5321508,5321508,NA,5000000.0,28-May-69,PG-13,NA,Paramount Pictures,Original Screenplay,Western,Historical Fiction,Sergio Leone,NA,8.8,74184.0
The Conversation,4420000,4420000,NA,1600000.0,07-Apr-74,NA,NA,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Francis Ford Coppola,98.0,8.1,33005.0
Cavite,70071,71644,NA,7000.0,26-May-06,Not Rated,NA,Truly Indie,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,NA,6.0,487.0
Copycat,32051917,32051917,NA,20000000.0,27-Oct-95,R,NA,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Amiel,75.0,6.5,17182.0
Dark Angel,4372561,4372561,NA,7000000.0,28-Sep-90,NA,NA,Triumph Releasing,Original Screenplay,Action,Science Fiction,NA,NA,5.3,3396.0
"Boot, Das",11487676,84970337,NA,12000000.0,10-Feb-82,R,NA,Sony/Columbia,Based on Book/Short Story,Drama,Historical Fiction,Wolfgang Petersen,NA,4.3,2184.0
Desperado,25532388,25532388,NA,7000000.0,25-Aug-95,R,NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Robert Rodriguez,61.0,7.0,51515.0
Dumb & Dumber,127175374,246400000,NA,16000000.0,16-Dec-94,PG-13,NA,New Line,Original Screenplay,Comedy,Contemporary Fiction,Bobby Farrelly,NA,7.2,88093.0
Diamonds Are Forever,43800000,116000000,NA,7200000.0,17-Dec-71,NA,NA,MGM,Based on Book/Short Story,Action,NA,Guy Hamilton,67.0,6.7,25354.0
The Dark Half,9579068,9579068,NA,15000000.0,23-Apr-93,NA,NA,Orion Pictures,Based on Book/Short Story,Horror,Fantasy,George A. Romero,NA,5.7,5488.0
The Dark Hours,423,423,NA,400000.0,13-Oct-05,R,NA,Freestyle Releasing,NA,Horror,NA,NA,NA,6.3,2804.0
Dante's Peak,67163857,178200000,NA,115000000.0,07-Feb-97,PG-13,108.0,Universal,Original Screenplay,Drama,Contemporary Fiction,Roger Donaldson,28.0,5.6,23472.0
Daylight,32908290,158908290,NA,80000000.0,06-Dec-96,PG-13,115.0,Universal,Original Screenplay,Action,Contemporary Fiction,Rob Cohen,22.0,5.4,20052.0
Dick Tracy,103738726,162738726,NA,47000000.0,15-Jun-90,NA,NA,Walt Disney Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Warren Beatty,65.0,5.9,25364.0
Decoys,84733,84733,NA,5000000.0,27-Feb-04,R,NA,NA,NA,NA,NA,NA,NA,4.4,2486.0
Dawn of the Dead,5100000,55000000,NA,1500000.0,20-Apr-79,NA,NA,United Film Distribution Co.,NA,Horror,NA,NA,NA,7.4,73875.0
The Addams Family,113502246,191502246,NA,30000000.0,22-Nov-91,NA,NA,Paramount Pictures,Based on TV,Comedy,Fantasy,Barry Sonnenfeld,59.0,6.6,28907.0
Death Becomes Her,58422650,149022650,NA,55000000.0,31-Jul-92,NA,NA,Universal,Original Screenplay,Comedy,Fantasy,Robert Zemeckis,53.0,6.0,27681.0
Def-Con 4,210904,210904,NA,1300000.0,15-Mar-85,NA,NA,New World,Original Screenplay,Action,Science Fiction,NA,NA,3.8,639.0
Dead Poets' Society,95860116,239500000,NA,16400000.0,02-Jun-89,NA,NA,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Peter Weir,86.0,7.8,89662.0
The Day the Earth Stood Still,3700000,3700000,NA,1200000.0,04-Mar-03,NA,NA,NA,NA,NA,NA,NA,94.0,5.5,51517.0
Deep Throat,45000000,45000000,NA,25000.0,30-Jun-72,NA,NA,NA,NA,NA,NA,NA,NA,5.2,3075.0
The Dead Zone,20766000,20766000,NA,10000000.0,21-Oct-83,NA,NA,Paramount Pictures,Based on Book/Short Story,Horror,Fantasy,David Cronenberg,NA,7.3,19485.0
Die Hard 2,117323878,239814025,NA,70000000.0,03-Jul-90,NA,NA,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,Renny Harlin,NA,7.0,79636.0
Die Hard: With a Vengeance,100012499,364480746,NA,90000000.0,19-May-95,R,NA,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,John McTiernan,NA,7.4,87437.0
Dragonheart,51364680,104364680,NA,57000000.0,31-May-96,PG-13,108.0,Universal,Original Screenplay,Adventure,Fantasy,Rob Cohen,50.0,6.2,26309.0
Die Hard,81350242,139109346,NA,28000000.0,15-Jul-88,NA,NA,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,John McTiernan,94.0,7.3,237.0
Diner,12592907,12592907,NA,5000000.0,02-Apr-82,NA,NA,MGM,Original Screenplay,Comedy,Historical Fiction,Barry Levinson,96.0,7.1,7803.0
Dil Jo Bhi Kahey...,129319,129319,NA,1600000.0,23-Sep-05,Not Rated,NA,Eros Entertainment,Original Screenplay,Drama,NA,NA,NA,5.0,159.0
Don Juan DeMarco,22032635,22032635,NA,25000000.0,07-Apr-95,PG-13,NA,New Line,Original Screenplay,Drama,Contemporary Fiction,NA,73.0,6.6,20386.0
Tales from the Crypt: Demon Knight,21089146,21089146,NA,12000000.0,13-Jan-95,R,NA,Universal,Original Screenplay,Horror,Fantasy,NA,NA,6.4,6430.0
Dead Man Walking,39387284,83088295,NA,11000000.0,29-Dec-95,R,NA,Gramercy,Based on Real Life Events,Drama,Dramatization,Tim Robbins,94.0,7.6,32159.0
Dances with Wolves,184208842,424200000,NA,19000000.0,09-Nov-90,NA,NA,Orion Pictures,Based on Book/Short Story,Western,Historical Fiction,Kevin Costner,76.0,8.0,71399.0
Dangerous Liaisons,34700000,34700000,NA,14000000.0,21-Dec-88,NA,NA,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Stephen Frears,93.0,7.7,25761.0
Donovan's Reef,6600000,6600000,NA,2686000.0,NA,NA,NA,NA,NA,NA,NA,John Ford,60.0,6.6,2907.0
Due occhi diabolici,349618,349618,NA,9000000.0,25-Oct-91,NA,NA,NA,NA,NA,NA,NA,NA,5.9,2059.0
Double Impact,29090445,29090445,NA,16000000.0,09-Aug-91,NA,NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Sheldon Lettich,8.0,4.7,10426.0
The Doors,34167219,34167219,NA,40000000.0,01-Mar-91,NA,NA,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Oliver Stone,57.0,7.0,29750.0
Day of the Dead,5804262,34004262,NA,3500000.0,03-Jul-85,NA,NA,United Film Distribution Co.,NA,Horror,NA,George A. Romero,78.0,4.5,8395.0
Days of Thunder,82670733,157670733,NA,60000000.0,27-Jun-90,NA,NA,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,40.0,5.4,25395.0
Dracula: Pages from a Virgin's Diary,39659,84788,NA,1100000.0,14-May-03,Not Rated,NA,NA,NA,NA,NA,NA,NA,7.0,1013.0
Dolphin,14000,14000,NA,170000.0,NA,NA,NA,NA,Based on Real Life Events,Documentary,Factual,NA,NA,5.8,134.0
The Dress,16556,16556,NA,2650000.0,16-Jan-98,Not Rated,NA,Attitude Films,Original Screenplay,Drama,NA,NA,NA,7.6,1844.0
The Deer Hunter,50000000,50000000,NA,15000000.0,NA,NA,NA,Universal,Original Screenplay,Drama,NA,Michael Cimino,NA,8.2,88095.0
Dragonslayer,6000000,6000000,NA,18000000.0,26-Jun-81,NA,NA,Paramount Pictures,Original Screenplay,Action,Fantasy,NA,82.0,6.8,4945.0
Driving Miss Daisy,106593296,106593296,NA,7500000.0,13-Dec-89,NA,NA,Warner Bros.,Based on Play,Drama,Historical Fiction,Bruce Beresford,78.0,7.5,22566.0
Dressed to Kill,31899000,31899000,NA,6500000.0,01-Jan-80,NA,NA,NA,NA,NA,NA,Brian De Palma,84.0,7.1,9556.0
Do the Right Thing,26004026,26004026,NA,6000000.0,30-Jun-89,NA,NA,Universal,Original Screenplay,Comedy,Contemporary Fiction,Spike Lee,98.0,7.9,26877.0
Dune,27447471,27447471,NA,45000000.0,14-Dec-84,NA,NA,Universal,Based on Book/Short Story,Action,Science Fiction,David Lynch,62.0,6.5,38489.0
Dolphins and Whales Tribes of the Ocean 3D,7714996,17252287,NA,6000000.0,15-Feb-08,Not Rated,NA,3D Entertainment,Based on Real Life Events,Documentary,Factual,NA,NA,NA,NA
Down & Out with the Dolls,58936,58936,NA,1200000.0,21-Mar-03,R,NA,Indican Pictures,NA,NA,NA,NA,NA,5.8,75.0
Dream With The Fishes,542909,542909,NA,1000000.0,20-Jun-97,R,NA,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,NA,58.0,6.6,1188.0
Doctor Zhivago,111721000,111721000,NA,11000000.0,22-Dec-65,PG-13,NA,MGM,Based on Book/Short Story,Drama,Historical Fiction,David Lean,84.0,8.0,27671.0
The Evil Dead,2400000,29400000,NA,375000.0,15-Apr-83,NC-17,NA,New Line,NA,Horror,NA,Sam Raimi,NA,7.6,45030.0
Evil Dead II,5923044,5923044,NA,3500000.0,13-Mar-87,NA,NA,Rosebud Releasing,NA,Horror,Fantasy,Sam Raimi,NA,7.9,44214.0
Army of Darkness,11502976,21502976,NA,11000000.0,19-Feb-93,R,NA,Universal,NA,Horror,Fantasy,Sam Raimi,NA,7.6,55671.0
Ed and his Dead Mother,673,673,NA,1800000.0,NA,NA,NA,NA,NA,NA,NA,NA,50.0,5.6,829.0
Edward Scissorhands,53976987,53976987,NA,20000000.0,07-Dec-90,NA,NA,20th Century Fox,Original Screenplay,Comedy,Fantasy,Tim Burton,91.0,8.0,102485.0
Ed Wood,5828466,5828466,NA,18000000.0,30-Sep-94,R,NA,Walt Disney Pictures,Based on Book/Short Story,Comedy,Dramatization,Tim Burton,91.0,8.1,74171.0
The Egyptian,15000000,15000000,NA,5000000.0,NA,NA,NA,NA,NA,NA,NA,Michael Curtiz,NA,6.2,1097.0
Everyone Says I Love You,9725847,34600000,NA,20000000.0,06-Dec-96,R,NA,Miramax,Original Screenplay,Musical,Contemporary Fiction,Woody Allen,80.0,6.8,16481.0
The Elephant Man,26010864,26010864,NA,5000000.0,03-Oct-80,NA,NA,NA,NA,NA,NA,David Lynch,91.0,8.4,58194.0
Emma,22231658,37831658,NA,5900000.0,02-Aug-96,PG,111.0,Miramax,Based on Book/Short Story,Romantic Comedy,Historical Fiction,NA,NA,6.8,13798.0
Star Wars Ep. V: The Empire Strikes Back,290271960,534171960,10027926.0,23000000.0,21-May-80,PG,NA,20th Century Fox,Original Screenplay,Adventure,Science Fiction,NA,NA,NA,NA
Escape from New York,25244700,25244700,NA,6000000.0,10-Jul-81,NA,NA,Avco Embassy,Original Screenplay,Action,Science Fiction,John Carpenter,82.0,7.1,34497.0
Escape from L.A.,25426861,25426861,NA,50000000.0,09-Aug-96,R,101.0,Paramount Pictures,Original Screenplay,Action,Science Fiction,John Carpenter,56.0,5.3,23262.0
Escape from the Planet of the Apes,12300000,12300000,NA,2500000.0,NA,NA,NA,NA,NA,NA,Science Fiction,NA,78.0,6.1,7686.0
Eraser,101295562,234400000,NA,100000000.0,21-Jun-96,R,115.0,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Chuck Russell,34.0,5.9,37287.0
Eraserhead,7000000,7000000,NA,100000.0,NA,NA,NA,NA,NA,NA,NA,David Lynch,90.0,7.4,26595.0
Everything You Always Wanted to Know,18016290,18016290,NA,2000000.0,11-Aug-72,NA,NA,MGM,Based on Book/Short Story,Comedy,NA,Woody Allen,NA,NA,NA
ET: The Extra-Terrestrial,435110554,792910554,NA,10500000.0,11-Jun-82,PG,NA,Universal,Original Screenplay,Drama,Science Fiction,Steven Spielberg,NA,7.9,105028.0
Excessive Force,1152117,1152117,NA,13000000.0,14-May-93,NA,NA,NA,NA,NA,NA,NA,NA,4.7,537.0
Exorcist II: The Heretic,25011000,25011000,NA,14000000.0,17-Jun-77,NA,NA,NA,NA,Horror,NA,John Boorman,NA,3.5,7849.0
Exotica,5046118,5046118,NA,1500000.0,23-Sep-94,R,NA,Miramax,Original Screenplay,Drama,Contemporary Fiction,Atom Egoyan,96.0,7.1,8402.0
Force 10 from Navarone,7100000,7100000,NA,5000000.0,22-Dec-78,NA,NA,Sony/Columbia,NA,Action,NA,Guy Hamilton,64.0,6.0,5917.0
A Farewell To Arms,11000000,11000000,NA,5000000.0,NA,NA,NA,NA,NA,NA,NA,John Huston,NA,6.6,1655.0
Fatal Attraction,156645693,320100000,NA,14000000.0,18-Sep-87,NA,NA,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Adrian Lyne,81.0,6.8,22328.0
Family Plot,13200000,13200000,NA,3000000.0,09-Apr-76,NA,NA,Universal,NA,NA,NA,Alfred Hitchcock,95.0,6.8,7290.0
Fabled,31425,31425,NA,400000.0,10-Dec-04,R,NA,Indican Pictures,Original Screenplay,Horror,NA,Ari S. Kirschenbaum,NA,5.4,146.0
The French Connection,41158757,41158757,NA,2200000.0,09-Oct-71,NA,NA,NA,NA,NA,NA,William Friedkin,98.0,7.9,33674.0
From Dusk Till Dawn,25728961,25728961,NA,20000000.0,19-Jan-96,R,107.0,Miramax/Dimension,Original Screenplay,Horror,Fantasy,Robert Rodriguez,63.0,7.1,80234.0
Friday the 13th,39754601,59754601,NA,550000.0,09-May-80,NA,NA,Paramount Pictures,NA,Horror,NA,NA,60.0,5.6,26798.0
Friday the 13th Part 3,36690067,36690067,NA,2250000.0,13-Aug-82,NA,NA,Paramount Pictures,NA,Horror,Contemporary Fiction,Steve Miner,14.0,5.5,13395.0
Friday the 13th Part IV: The Final Chapter,32980880,32980880,NA,2600000.0,13-Apr-84,NA,NA,Paramount Pictures,NA,Horror,Fantasy,NA,NA,NA,NA
Friday the 13th Part V: A New Beginning,21930418,21930418,NA,2200000.0,22-Mar-85,NA,NA,Paramount Pictures,NA,Horror,Contemporary Fiction,NA,NA,NA,NA
Friday the 13th Part VI: Jason Lives,19472057,19472057,NA,3000000.0,01-Aug-86,NA,NA,Paramount Pictures,NA,Horror,Fantasy,NA,NA,NA,NA
Friday the 13th Part VII: The New Blood,19170001,19170001,NA,2800000.0,13-May-88,NA,NA,Paramount Pictures,NA,Horror,Fantasy,NA,NA,4.6,8916.0
Friday the 13th Part VIII: Jason Takes Manhattan,14343976,14343976,NA,5000000.0,28-Jul-89,NA,NA,Paramount Pictures,NA,Horror,Fantasy,NA,NA,3.9,10113.0
Jason Goes to Hell: The Final Friday,15935068,15935068,NA,3000000.0,13-Aug-93,NA,NA,New Line,NA,Horror,Fantasy,NA,NA,4.1,8733.0
Per qualche dollaro in pi˘,4300000,4300000,NA,600000.0,10-May-67,NA,NA,MGM,Original Screenplay,Western,Historical Fiction,Sergio Leone,NA,8.2,44204.0
Per un pugno di dollari,3500000,3500000,NA,200000.0,18-Jan-67,NA,NA,United Artists,Remake,Western,Historical Fiction,Sergio Leone,NA,8.0,39929.0
The Fall of the Roman Empire,4750000,4750000,NA,19000000.0,01-Jan-64,NA,NA,NA,NA,NA,NA,NA,100.0,6.6,3184.0
Friday the 13th Part 2,21722776,21722776,NA,1250000.0,30-Apr-81,NA,NA,NA,NA,Horror,NA,Steve Miner,33.0,5.5,13395.0
Faithful,2104439,2104439,NA,13000000.0,05-Apr-96,R,NA,New Line,Based on Play,Black Comedy,Contemporary Fiction,Paul Mazursky,7.0,5.7,989.0
Fair Game,11497497,11497497,NA,50000000.0,03-Nov-95,R,NA,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,NA,13.0,6.6,194.0
A Few Good Men,141340178,236500000,NA,33000000.0,11-Dec-92,NA,NA,Sony Pictures,Based on Play,Drama,Contemporary Fiction,Rob Reiner,83.0,7.6,63541.0
The Fugitive,183875760,368900000,NA,44000000.0,06-Aug-93,PG-13,NA,Warner Bros.,Based on TV,Thriller/Suspense,Contemporary Fiction,Andrew Davis,94.0,7.8,96914.0
From Here to Eternity,30500000,30500000,NA,1650000.0,05-Aug-53,NA,NA,NA,NA,NA,NA,Fred Zinnemann,86.0,7.9,15115.0
First Morning,87264,87264,NA,300000.0,15-Jul-05,PG-13,90.0,Illuminare,NA,Drama,NA,NA,NA,NA,NA
Shooting Fish,302204,302204,NA,4000000.0,01-May-98,PG,NA,Fox Searchlight,NA,NA,NA,NA,NA,6.4,4849.0
F.I.S.T,20388920,20388920,NA,11000000.0,13-Apr-78,NA,NA,United Artists,Based on Real Life Events,Drama,Dramatization,Norman Jewison,NA,6.2,2737.0
Flashdance,90463574,201463574,NA,7000000.0,15-Apr-83,NA,NA,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Adrian Lyne,29.0,5.6,12485.0
Fled,17192205,19892205,NA,30000000.0,19-Jul-96,R,98.0,MGM,Original Screenplay,Action,Contemporary Fiction,NA,14.0,4.9,4215.0
Flash Gordon,27107960,27107960,NA,35000000.0,05-Dec-80,NA,NA,Universal,Based on Comic/Graphic Novel,Action,Science Fiction,NA,81.0,6.2,14894.0
The Flintstones,130531208,358500000,NA,45000000.0,27-May-94,PG,NA,Universal,Based on TV,Comedy,Historical Fiction,Brian Levant,20.0,4.6,26521.0
Flight of the Intruder,14471440,14471440,NA,35000000.0,18-Jan-91,NA,NA,Paramount Pictures,Based on Book/Short Story,Action,Historical Fiction,John Milius,NA,5.3,2592.0
Flatliners,61308153,61308153,NA,26000000.0,10-Aug-90,R,NA,Sony Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,Joel Schumacher,52.0,6.4,23295.0
The Flower of Evil,181798,181798,NA,6000000.0,10-Oct-03,R,NA,NA,NA,NA,NA,NA,64.0,NA,NA
Funny Ha Ha,77070,77070,NA,30000.0,29-Apr-05,Not Rated,NA,Goodbye Cruel Releasing,Original Screenplay,Comedy,NA,NA,NA,6.1,1138.0
The Funeral,1212799,1412799,NA,12500000.0,01-Nov-96,R,NA,October Films,Original Screenplay,Drama,Historical Fiction,Abel Ferrara,83.0,6.4,4084.0
Fantasia,83320000,83320000,NA,2280000.0,13-Nov-40,NA,NA,Walt Disney Pictures,Compilation,Musical,Multiple Creative Types,NA,98.0,7.8,29914.0
